Pressure [Pa],Velocity [m/s]
112127.896,0.611257593
112139.729,0.095741212
112286.341,0.555483527
112293.45,0.036820848
112281.794,0.557539432
112288.468,0.037331759
112140.808,0.00334557
112146.559,0.016146355
112296.112,0.004885507
112289.666,0.00553049
112126.025,0.643856361
112131.895,0.11934574
112124.495,0.500641321
112132.291,0.192199369
112283.765,0.599111244
112289.349,0.068801154
112284.975,0.471218394
112289.264,0.145374782
112137.983,0.001652417
112291.768,0.003739988
112289.264,0.145374782
111751.163,0.460075777
111949.598,0.440446088
112126.549,0.422336252
112287.204,0.405817244
112451.888,0.425716134
112436.847,0.428723586
112438.045,0.536525032
112609.152,0.404991287
112599.272,0.435707966
112599.686,0.54282957
112440.247,0.43337871
112437.797,0.405351235
112434.062,0.607472998
112435.098,0.557672389
112600.257,0.428056771
112593.933,0.394532214
112595.113,0.609153724
112593.331,0.558310998
112767.111,0.393490611
112765.379,0.441921965
112759.681,0.548239376
112919.314,0.386487936
112917.746,0.449053879
112913.053,0.554352999
112757.161,0.42517422
112750.09,0.384274054
112752.278,0.611561627
112746.661,0.554530954
112910.572,0.424414964
112905.311,0.374154796
112905.998,0.614719368
112898.706,0.546396032
113357.233,0.47411325
113519.628,0.477594448
113068.185,0.382747916
113065.495,0.456891432
113063.195,0.561528255
113210.108,0.466628451
113215.834,0.382768074
113210.108,0.466628451
113211.642,0.569810802
113063.526,0.42489626
113060.203,0.363071183
113059.352,0.618670155
113054.987,0.534836489
113215.591,0.425535828
113214.975,0.350209696
113212.231,0.623212143
113210.298,0.519614067
113357.233,0.47411325
113367.241,0.382297988
113357.233,0.47411325
113362.805,0.577827581
113531.364,0.390730586
113526.956,0.380775748
113519.628,0.477594448
113520.682,0.584795363
113369.749,0.425412137
113370.366,0.335385075
113366.827,0.627793484
113366.41,0.500390942
113525.717,0.424504402
113525.774,0.319014904
113522.976,0.632032721
113522.105,0.477721334
112431.332,0.331310881
112430.343,0.348793964
112439.719,0.036657919
112582.97,0.30413333
112584.885,0.020829274
112577.15,0.314713473
112584.885,0.020829274
112439.719,0.036657919
112584.885,0.020829274
112745.38,0.276022675
112737.682,0.010672905
112741.407,0.279271429
112737.682,0.010672905
112904.409,0.248558249
112912.565,0.009119355
112899.412,0.245602066
112898.284,0.012958243
112750.775,0.005391289
112903.986,0.003034877
113060.377,0.21838275
113063.74,0.003344586
113055.933,0.213683366
113054.897,0.026175383
113216.283,0.189335981
113216.843,0.010121619
113212.661,0.180500494
113209.437,0.034021364
113059.029,0.007394327
113217.226,0.017615461
113371.737,0.159575338
113370.455,0.009987053
113370.232,0.14850431
113363.309,0.034858452
113528.551,0.132728791
113522.923,0.007360639
113527.869,0.117930524
113518.832,0.037091082
113372.509,0.021576601
113527.522,0.01414749
112423.212,0.637500582
112591.564,0.586752889
112593.262,0.638896165
112422.594,0.523899372
112590.877,0.528348517
112763.114,0.588977254
112810.068,0.628299409
112948.359,0.562717792
112920.12,0.613375749
112821.038,0.495298406
112925.427,0.464695936
112428.219,0.583335207
112431.063,0.750200553
112423.212,0.637500582
112423.335,0.766061647
112591.564,0.586752889
112595.328,0.753642818
112593.262,0.638896165
112588.272,0.765302962
112433.214,0.807274217
112438.046,0.788153302
112425.848,0.779565809
112431.967,0.761606157
112592.946,0.805437945
112592.443,0.777477333
112586.386,0.778106649
112588.051,0.752081248
112422.594,0.523899372
112427.409,0.731913004
112432.3,0.27055323
112431.491,0.468763076
112590.877,0.528348517
112591.941,0.73540597
112599.286,0.290459992
112595.125,0.490272942
112432.041,0.79349738
112435.187,0.790957681
112431.679,0.640126757
112434.908,0.69421144
112593.09,0.791691059
112594.862,0.7845547
112593.817,0.648140366
112592.923,0.690509985
112763.114,0.588977254
112755.023,0.757311459
112754.731,0.64289464
112747.857,0.764927439
112916.048,0.594989015
112908.929,0.761193909
112914.4,0.650218132
112907.858,0.764871741
112750.104,0.803957039
112746.057,0.762813041
112744.815,0.776718697
112745.367,0.73706182
112904.536,0.802829643
112899.837,0.743829794
112902.716,0.775583022
112899.853,0.71642925
112761.639,0.534169322
112752.761,0.739130819
112762.056,0.311145619
112754.876,0.510684554
112914.155,0.545166599
112907.732,0.743241076
112912.259,0.333496688
112907.453,0.531224535
112750.012,0.790361454
112749.77,0.774987362
112752.23,0.654965287
112748.33,0.685047353
112904.293,0.789430224
112901.241,0.761706037
112906.34,0.660791157
112902.141,0.677785982
112441.367,0.386256377
112602.17,0.384161059
112440.318,0.518124985
112440.193,0.57117494
112601.18,0.519188512
112597.434,0.55927115
112760.621,0.388690659
112911.702,0.397810706
112758.483,0.520436185
112752.011,0.54905994
112911.886,0.52188164
112905.852,0.539637187
113074.346,0.537726184
113067.621,0.601497714
113218.974,0.523258547
113213.34,0.595601497
113071.898,0.44404757
113212.839,0.441918409
113361.94,0.520876912
113362.7,0.592270317
113518.388,0.520715156
113521.912,0.589842304
113360.245,0.446937693
113364.011,0.394539601
113527.703,0.452202461
113528.657,0.410263622
113065.479,0.603693325
113060.671,0.764936022
113063.375,0.659371445
113061.453,0.765797665
113212.546,0.614040356
113211.23,0.768336255
113212.987,0.668286926
113213.119,0.766711184
113058.351,0.801883064
113055.103,0.720651892
113057.474,0.774917158
113053.377,0.690370549
113212.052,0.800946666
113211.2,0.692840909
113211.534,0.774280296
113208.006,0.658271381
113063.652,0.558630463
113059.75,0.747396465
113057.561,0.355739376
113056.728,0.551298102
113211.21,0.572868349
113211.8,0.751093781
113207.659,0.376205728
113209.378,0.569565782
113058.025,0.788688915
113056.771,0.744185244
113058.262,0.665270596
113055.455,0.66867394
113211.718,0.787924452
113210.379,0.722509853
113210.391,0.668618806
113208.849,0.657126713
113361.308,0.624608344
113364.539,0.771088866
113364.202,0.67614641
113366.447,0.767353409
113519.149,0.634033854
113521.765,0.77297465
113520.896,0.682352812
113521.554,0.767400187
113367.336,0.799907045
113368.263,0.659926739
113367.107,0.773690187
113367.172,0.619617814
113523.657,0.798782816
113522.954,0.62144551
113521.837,0.773376097
113522.191,0.575019628
113362.821,0.585736565
113366.465,0.753849982
113364.011,0.394539601
113366.122,0.58524176
113523.909,0.597001773
113523.854,0.755865532
113528.657,0.410263622
113525.198,0.598513224
113367.18,0.786927285
113366.17,0.696574438
113364.885,0.671378593
