Volume [m^3],Pressure [Pa],Velocity [m/s]
3.42E-07,204635.783,0.07627752
3.42E-07,204634.035,0.05960523
2.62E-07,204148.896,0.128650397
2.62E-07,203656.856,0.12853142
2.62E-07,204144.919,0.121932322
2.62E-07,203652.787,0.119987844
3.42E-07,204148.374,0.076014673
3.42E-07,204147.339,0.052304903
3.42E-07,203656.044,0.071999567
3.42E-07,203655.821,0.04695749
3.42E-07,204144.054,0.072221151
3.42E-07,204142.449,0.056531144
3.42E-07,203651.901,0.065620269
3.42E-07,203650.802,0.048300947
3.42E-07,205137.581,0.063866475
3.42E-07,205134.499,0.066671244
3.42E-07,204648.628,0.062343825
3.42E-07,204646.534,0.066223118
3.42E-07,205131.731,0.047301763
3.42E-07,205128.404,0.051897369
3.42E-07,204639.267,0.047545799
3.42E-07,204635.155,0.05878998
3.42E-07,205131.147,0.069725459
3.42E-07,205128.882,0.068443871
3.42E-07,204643.247,0.070386535
3.42E-07,204640.555,0.069105427
3.42E-07,205124.83,0.055032266
3.42E-07,205120.92,0.054774858
3.42E-07,204631.419,0.065446833
3.42E-07,204627.254,0.067874437
3.42E-07,204157.576,0.057550598
3.42E-07,204154.938,0.064986577
3.42E-07,203666.834,0.057349756
3.42E-07,203664.294,0.06574448
3.42E-07,204145.821,0.05171195
3.42E-07,204141.254,0.069113474
3.42E-07,203654.027,0.053495787
3.42E-07,203650.014,0.073453267
3.42E-07,204151.551,0.07130202
3.42E-07,204148.362,0.074051376
3.42E-07,203661.06,0.075306068
3.42E-07,203657.082,0.080979162
3.42E-07,204137.334,0.078935823
3.42E-07,204134.457,0.0829242
3.42E-07,203646.801,0.085003078
3.42E-07,203647.835,0.086978649
3.42E-07,205127.941,0.05160463
3.42E-07,205124.641,0.053692765
3.42E-07,204636.701,0.056327295
3.42E-07,204633.086,0.061507577
3.42E-07,205123.24,0.057130527
3.42E-07,205119.754,0.054910923
3.42E-07,204631.347,0.058348309
3.42E-07,204627.591,0.056219838
3.42E-07,205120.703,0.053903653
3.42E-07,205116.511,0.052155915
3.42E-07,204629.084,0.062892618
3.42E-07,204625.487,0.061079296
3.42E-07,205115.6,0.050597227
3.42E-07,205111.2,0.044610201
3.42E-07,204623.386,0.052262527
3.42E-07,204619.4,0.047675853
3.42E-07,204146.048,0.059060328
3.42E-07,204142.741,0.06574004
3.42E-07,203654.933,0.053577301
3.42E-07,203652.147,0.061808202
3.42E-07,204139.135,0.055732034
3.42E-07,204135.723,0.054703132
3.42E-07,203647.881,0.047395642
3.42E-07,203644.694,0.049473279
3.42E-07,204139.37,0.068486792
3.42E-07,204137.065,0.06598639
3.42E-07,203650.399,0.067685907
3.42E-07,203647.382,0.071828691
3.42E-07,204132.209,0.054972668
3.42E-07,204128.573,0.056274177
3.42E-07,203641.626,0.058551801
3.42E-07,203639.293,0.062981961
2.53E-07,207103.007,0.100074012
2.62E-07,206611.316,0.120573333
2.53E-07,207101.048,0.100149658
2.62E-07,206608.635,0.116231217
3.32E-07,207097.001,0.111356277
3.32E-07,207087.567,0.124202712
3.42E-07,206606.965,0.113506709
3.42E-07,206599.821,0.109636422
3.32E-07,207094.537,0.10782297
3.32E-07,207085.114,0.122405515
3.42E-07,206604.724,0.111157273
3.42E-07,206597.986,0.110127026
2.62E-07,206114.498,0.121974222
2.62E-07,205620.04,0.118972028
2.62E-07,206111.819,0.114560688
2.62E-07,205617.69,0.112398098
3.42E-07,206108.658,0.095551833
3.42E-07,206106.444,0.082338873
3.42E-07,205615.282,0.085452656
3.42E-07,205613.814,0.068252218
3.42E-07,206107.196,0.091874574
3.42E-07,206105.033,0.082493945
3.42E-07,205613.231,0.083767352
3.42E-07,205612.808,0.068773388
2.53E-07,207096.927,0.094748299
2.62E-07,206607.097,0.109792648
2.53E-07,207097.181,0.08576378
2.62E-07,206608.781,0.100317571
3.32E-07,207092.036,0.099935018
3.32E-07,207084.6,0.115275794
3.42E-07,206604.033,0.106620119
3.42E-07,206597.994,0.107304637
3.32E-07,207093.75,0.088815952
3.32E-07,207088.134,0.102614552
3.42E-07,206606.684,0.099285604
3.42E-07,206601.444,0.101772809
2.62E-07,206111.389,0.106030204
2.62E-07,205617.852,0.104142058
2.62E-07,206113.462,0.095226742
2.62E-07,205619.152,0.094226079
3.42E-07,206108.103,0.086654403
3.42E-07,206105.307,0.080296117
3.42E-07,205613.222,0.079511401
3.42E-07,205613.358,0.068363799
3.42E-07,206111.275,0.079667716
3.42E-07,206108.255,0.075756899
3.42E-07,205616.908,0.0718491
3.42E-07,205614.381,0.064907812
3.32E-07,207081.981,0.125347794
3.32E-07,207077.638,0.123582195
3.42E-07,206594.368,0.110950674
3.42E-07,206590.085,0.109555984
3.32E-07,207080.439,0.127076338
3.32E-07,207076.114,0.12724486
3.42E-07,206591.909,0.112965874
3.42E-07,206589.032,0.110994372
3.32E-07,207072.791,0.123185483
3.32E-07,207068.702,0.121214794
3.42E-07,206586.954,0.105039609
3.42E-07,206583.234,0.101029002
3.32E-07,207071.253,0.125616424
3.32E-07,207067.79,0.1230523
3.42E-07,206586.294,0.108515461
3.42E-07,206582.733,0.105134755
3.42E-07,206103.205,0.079226748
3.42E-07,206100.529,0.077022725
3.42E-07,205611.054,0.064991976
3.42E-07,205607.97,0.060907515
3.42E-07,206102.133,0.082093386
3.42E-07,206099.145,0.082108355
3.42E-07,205608.254,0.06791909
3.42E-07,205605.737,0.064437484
3.42E-07,206096.563,0.074441573
3.42E-07,206092.233,0.071619247
3.42E-07,205603.738,0.057233044
3.42E-07,205599.503,0.052128484
3.42E-07,206095,0.080306148
3.42E-07,206090.759,0.077526248
3.42E-07,205601.183,0.060651656
3.42E-07,205597.196,0.055777297
3.32E-07,207080.315,0.124675594
3.32E-07,207076.292,0.127196393
3.42E-07,206592.978,0.110223513
3.42E-07,206590.813,0.10997714
3.32E-07,207084.307,0.115711602
3.32E-07,207079.961,0.122630926
3.42E-07,206597.56,0.105172609
3.42E-07,206595.105,0.106956941
3.32E-07,207072.397,0.12499975
3.32E-07,207069.403,0.12202829
3.42E-07,206588.187,0.10903762
3.42E-07,206585.229,0.106821907
3.32E-07,207077.747,0.121829789
3.32E-07,207074.997,0.117912149
3.42E-07,206592.48,0.107487989
3.42E-07,206589.915,0.106223087
3.42E-07,206102.645,0.083343858
3.42E-07,206099.14,0.085542129
3.42E-07,205608.464,0.066660509
3.42E-07,205605.46,0.06556963
3.42E-07,206104.765,0.081412191
3.42E-07,206101.711,0.085809025
3.42E-07,205611.411,0.063827526
3.42E-07,205608,0.06539506
3.42E-07,206095.234,0.085023364
3.42E-07,206091.454,0.082712614
3.42E-07,205601.466,0.062969724
3.42E-07,205597.613,0.059605978
3.42E-07,206098.502,0.0872107
3.42E-07,206095.241,0.086525916
3.42E-07,205604.3,0.065770179
3.42E-07,205600.815,0.064814638
2.62E-07,205126.196,0.117090411
2.62E-07,204633.895,0.116156928
2.62E-07,205124.784,0.110511574
2.62E-07,204632.04,0.108125764
3.42E-07,205123.834,0.080058361
3.42E-07,205121.926,0.064693853
3.42E-07,204632.296,0.075817393
3.42E-07,204630.01,0.06269677
3.42E-07,205121.593,0.079137057
3.42E-07,205120.206,0.064613026
3.42E-07,204629.742,0.076146421
3.42E-07,204628.02,0.061576724
2.62E-07,204141.557,0.114478617
2.62E-07,203649.182,0.110785093
2.62E-07,204139.197,0.105937078
2.62E-07,203646.564,0.103001567
3.42E-07,204140.172,0.070407647
3.42E-07,204138.235,0.058232516
3.42E-07,203648.582,0.062216814
3.42E-07,203647.554,0.048971305
3.42E-07,204138.129,0.070321215
3.42E-07,204136.427,0.057295682
3.42E-07,203646.116,0.064323573
3.42E-07,203645.706,0.051524751
2.62E-07,205124.2,0.102685125
2.62E-07,204631.644,0.100549884
2.62E-07,205126.291,0.092453427
2.62E-07,204632.968,0.091514675
3.42E-07,205121.399,0.076174329
3.42E-07,205120.874,0.061847096
3.42E-07,204628.692,0.073341848
3.42E-07,204628.473,0.058987087
3.42E-07,205122.913,0.069906359
3.42E-07,205122.633,0.058710029
3.42E-07,204629.822,0.067390888
3.42E-07,204629.718,0.056977772
2.62E-07,204138.896,0.097634478
2.62E-07,203643.975,0.097374492
2.62E-07,204138.703,0.090100148
2.62E-07,203642.228,0.090041544
3.42E-07,204136.626,0.069856927
3.42E-07,204136.414,0.056936822
3.42E-07,203644.334,0.068502307
3.42E-07,203643.911,0.05525774
3.42E-07,204137.636,0.066984731
3.42E-07,204136.818,0.056680945
3.42E-07,203643.387,0.070034574
3.42E-07,203643.55,0.056514114
3.42E-07,205119.044,0.059629871
3.42E-07,205115.422,0.053734871
3.42E-07,204626.855,0.056289861
3.42E-07,204623.193,0.048948984
3.42E-07,205116.609,0.059453253
3.42E-07,205113.337,0.050926755
